strategy_id,buy,sell,none,type,MinPctRtn,AvgPctRtn,MaxPctRtn,FalseCount,MinBuyWarning,AvgBuyWarning,MaxBuyWarning,Family
CCBBBBBAABC,166,237,20778,Sell,9.06454E-05,0.0388387705799938,1.52941176470588,NULL,1,2,12,+AROON+BOP+ADOSC
CBBBBBBAABC,154,282,53360,Sell,0,0.0312510754755686,2.54743083003953,NULL,1,2,13,+AROON+ADOSC
CCCBBBBAABA,112,548,33020,Sell,0.000186846038863939,0.0429791541347354,2.47560975609756,NULL,1,2,7,+AROON+BOP+CCI
CBBBBBBAABA,112,214,35074,Sell,0,0.0288228012440497,1.32608695652174,NULL,1,2,12,+AROON
CCCBBBBBBBA,98,582,36121,Sell,0.000181835,0.0429722937938369,7.0625,NULL,1,2,7,+AROON+BOP+CCI
CABBBBBABBA,87,116,18978,Sell,0.000235821247494352,0.0367256903611606,2.54743083003953,NULL,1,2,12,+AROON
BCCBBBBBBBC,86,328,15353,Sell,9.06454E-05,0.037449537013702,1.52941176470588,NULL,1,21,117,+BOP+CCI+ADOSC
CCCBBBBBABA,83,315,27050,Sell,0.000347765605981623,0.0444239072493684,2.01989698010302,NULL,1,2,7,+AROON+BOP+CCI
CABBBBBABBC,78,102,26822,Sell,0.000181324,0.043816593275622,1.72117400419287,NULL,1,2,13,+AROON+ADOSC
BBCBBBBBBBC,78,399,31094,Sell,0,0.028594552789803,1.17948717948718,NULL,1,2,5,+CCI+ADOSC
BBCBBBBBABC,57,317,23166,Sell,0,0.0304391264859808,1.2906976744186,NULL,1,2,5,+CCI+ADOSC
ABCBBBBAABC,56,96,20086,Sell,0,0.0348800947472832,1.18595505617978,NULL,1,2,5,+CCI+ADOSC
BCCBBBBBABC,56,210,12517,Sell,9.0629E-05,0.041499255437124,1.58349086326402,NULL,1,21,117,+BOP+CCI+ADOSC
ABCBBBBBABC,37,58,11778,Sell,0,0.0344522254099093,2.25342465753425,NULL,1,2,5,+CCI+ADOSC
ABCBBBBBBBC,36,76,11984,Sell,0,0.0318265745532055,1.08657243816254,NULL,1,2,5,+CCI+ADOSC
ACCBBBBAABC,28,33,10134,Sell,0.000660357,0.0476245452888736,1.85919540229885,NULL,1,21,117,+BOP+CCI+ADOSC
BBCBBBBAABC,24,82,12075,Sell,0,0.0346990439821478,1.2906976744186,NULL,1,2,5,+CCI+ADOSC
BCCBBBBBABA,24,37,4816,Sell,0.000608791,0.0428409626934139,1.15867158671587,NULL,1,16,64,+BOP+CCI
CCBBBBBAABA,23,47,4441,Sell,0.000366032,0.0397105476132629,1.15867158671587,NULL,1,2,12,+AROON+BOP
BCBBCBBBBBC,23,24,6602,Sell,9.0629E-05,0.0336183870275722,1.24949,NULL,1,28,167,+BOP+MACD+ADOSC
CABBBBBBABA,22,110,8969,Sell,0.00027752723235962,0.0381182677646168,1.52941176470588,NULL,1,2,12,+AROON
BCCBBBBBBBA,20,108,6127,Sell,0.000181274,0.0393515613017086,1.04761904761905,NULL,1,16,64,+BOP+CCI
BCCBBBBAABC,17,50,4747,Sell,9.0629E-05,0.0453658363253788,1.09152542372881,NULL,1,21,117,+BOP+CCI+ADOSC
AABBBBBAABC,17,21,8677,Sell,0.000766577,0.0509554948165042,1.60993892282066,NULL,1,15,197,+ADOSC
BABBBBBCBBA,17,21,4893,Sell,0.000146584579302332,0.036674074629367,0.756838905775076,NULL,1,24,174,+STOCH
ACBBCBBBABC,17,26,17095,Sell,0.000236686,0.0435342811762815,1.86091549295775,NULL,1,28,167,+BOP+MACD+ADOSC
ACCBBBBBBBC,16,24,6351,Sell,0.000246467,0.0434877149252438,1.62257495590829,NULL,1,21,117,+BOP+CCI+ADOSC
ABBBCBBBBBC,16,47,30121,Sell,0,0.0321740526609692,2.54743083003953,NULL,1,8,80,+MACD+ADOSC
CABBBBBBABC,15,36,4453,Sell,0.000568117,0.0473376833856998,1.04977375565611,NULL,1,2,13,+AROON+ADOSC
ABBBCBBBBBA,14,55,37334,Sell,0,0.031209194393407,1.32608695652174,NULL,1,7,118,+MACD
CABBBBBAABA,12,93,3995,Sell,0.000286287,0.038124058358893,1.2906976744186,NULL,1,2,12,+AROON
BBCBBBBABBC,10,17,4625,Sell,0,0.0301891002329887,0.459074733096085,NULL,1,2,5,+CCI+ADOSC
BCCBCBBBBBC,9,184,5317,Sell,9.05879E-05,0.0323590314856644,0.991228070175439,NULL,1,27,102,+BOP+CCI+MACD+ADOSC
CCCBBBBABBA,9,53,4655,Sell,0.00080289,0.0415106797205467,1.72117400419287,NULL,1,2,7,+AROON+BOP+CCI
CABBBBBAABC,9,57,3450,Sell,0.000264585,0.0455597136882056,1.225,NULL,1,2,13,+AROON+ADOSC
BAABABBBBCA,8,9,8438,Sell,0.00017379214459503,0.035234710656089,1.36718,NULL,29,50,148,+TRIX
BCCBBBCBBBC,8,41,500,Sell,0.000354946,0.0420558404735571,0.45983379501385,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
ACCBBBBAABA,8,8,2397,Unknown,0.0006539,0.0467020611171916,0.950849673202614,NULL,1,16,64,+BOP+CCI
ACBBCBBAABC,8,23,7108,Sell,0.000454545,0.0423342283546229,1.17694444444444,NULL,1,28,167,+BOP+MACD+ADOSC
BCBBCBBBBBA,6,9,3290,Sell,0.0001803589142393,0.0359071969206645,0.748100759696122,NULL,1,38,179,+BOP+MACD
CCBBCBBBBBC,6,31,6009,Sell,0.0001803589142393,0.0369673573790264,1.18811881188119,NULL,1,2,7,+AROON+BOP+MACD+ADOSC
ABCBBBBABBC,6,6,1578,Unknown,0.000327011,0.0364516531018274,0.765124555160142,NULL,1,2,5,+CCI+ADOSC
BCCBBBBBBAC,5,12,25675,Sell,0.000272084,0.0466773466575943,1.07142857142857,NULL,1,21,117,+BOP+CCI+ADOSC
ABBBCBBBABA,5,61,28826,Sell,0,0.0336770053492617,1.5164113785558,NULL,1,7,118,+MACD
BACBBBBBABC,5,43,2744,Sell,0.000463005833873612,0.0434819861091886,1.01475694444444,NULL,1,2,5,+CCI+ADOSC
BACBBBBAABC,5,12,1222,Sell,0.0015242043653213,0.0476707147418036,0.521505376344086,NULL,1,2,5,+CCI+ADOSC
BABBBBBBABC,5,7,3096,Sell,0.000226603,0.0467432998600128,1.2906976744186,NULL,1,15,197,+ADOSC
CCBBCBBBBBA,5,8,3629,Sell,0.00037390166386233,0.0403997570819686,0.668317,NULL,1,2,3,+AROON+BOP+MACD
BCCABBCBBBC,4,31,225,Sell,0.000176699257863124,0.0500548586524061,0.829007633587786,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
BBBBCBBBBBC,4,15,9096,Sell,0,0.0275195928280394,1.42156862745098,NULL,1,8,80,+MACD+ADOSC
BCCBBBBABBC,3,10,934,Sell,0.00036268,0.0422848077883973,0.505084745762712,NULL,1,21,117,+BOP+CCI+ADOSC
BCCBCBBBBAC,3,17,9047,Sell,0.000272084,0.0413218602751775,1.16233766233766,NULL,1,27,102,+BOP+CCI+MACD+ADOSC
AABBCBBBBBC,3,3,3455,Unknown,0.000888099467140315,0.043227197597486,0.647286821705426,NULL,1,8,80,+MACD+ADOSC
AACBBBBAABC,3,10,2456,Sell,0.00195850863194532,0.0489457373012913,1.08431703204047,NULL,1,2,5,+CCI+ADOSC
BACBBBBBBBC,3,45,3922,Sell,0.000177106,0.043829200217036,1.09152542372881,NULL,1,2,5,+CCI+ADOSC
BCCBCBBBABC,3,62,3045,Sell,0.000236351,0.038917499254496,1.78918918918919,NULL,1,27,102,+BOP+CCI+MACD+ADOSC
BCCBBBBBAAC,3,8,29522,Sell,0.000332723340542391,0.0502635450354426,1.78,NULL,1,21,117,+BOP+CCI+ADOSC
BCCABBCBABC,3,27,232,Sell,0.00131157097056236,0.0588029207099013,0.501953,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
BAABBBBBBCC,3,4,10126,Sell,9.04895484570709E-05,0.0414136581503332,1.15867158671587,NULL,38,54,151,+TRIX+ADOSC
ABBBCBBBABC,3,51,23727,Sell,0,0.0348442633984377,2.54743083003953,NULL,1,8,80,+MACD+ADOSC
BCBBCBBBABC,3,5,2071,Sell,0.0001803589142393,0.0372094761375234,1.02112676056338,NULL,1,28,167,+BOP+MACD+ADOSC
BCBBBBCBBBC,3,4,155,Sell,0.0010352,0.0601010039599837,0.829007633587786,NULL,2,4,8,+BOP+RSI+ADOSC
CCBBCBBBABC,3,8,1298,Sell,0.000441533593347577,0.036339626728988,0.547318611987382,NULL,1,2,7,+AROON+BOP+MACD+ADOSC
BBBBCBBBABC,2,12,3317,Sell,0.000118301,0.0288292161194813,0.606719367588933,NULL,1,8,80,+MACD+ADOSC
ABBBCBBAABC,2,22,13227,Sell,0,0.0343094448369424,1.17948717948718,NULL,1,8,80,+MACD+ADOSC
AABBCBBABBC,2,2,556,Unknown,0.00162045,0.0413921221310068,0.408629441624365,NULL,1,8,80,+MACD+ADOSC
BABBBBBBBCC,2,55,69344,Sell,0.0001803589142393,0.0487494299864044,2.54743083003953,NULL,38,54,151,+TRIX+ADOSC
BABBBBBAABC,2,6,1220,Sell,0.00137089,0.0515665717939717,0.7956,NULL,1,15,197,+ADOSC
BBBBCBBBBBA,2,11,11203,Sell,0,0.0269580756993033,1.5164113785558,NULL,1,7,118,+MACD
BCCABBCAABC,2,16,104,Sell,0.000403877,0.0552732550289364,0.501953,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
AACBBBBBABC,2,4,1695,Sell,0.00027752723235962,0.0458321067354196,0.897094430992736,NULL,1,2,5,+CCI+ADOSC
BCBBBBBBBCC,2,85,122136,Sell,0.0001803589142393,0.0455468819699945,2.54743083003953,NULL,35,54,174,+BOP+TRIX+ADOSC
BCCACBCBBBC,2,31,129,Sell,0.000202429,0.0412253434265999,0.829007633587786,NULL,38,39,40,+BOP+CCI+MACD+RSI+ADOSC
BBBBCBBBABA,2,7,4172,Sell,0,0.0297441537574291,1.12104386451971,NULL,1,7,118,+MACD
AABBCBBAABC,2,2,1270,Unknown,0.00027752723235962,0.0481191753659101,1.18811881188119,NULL,1,8,80,+MACD+ADOSC
BABBCBBBABA,1,5,630,Sell,0.000972053,0.0338172850242426,0.416646024275452,NULL,1,7,118,+MACD
BCCBBBCAABC,1,10,228,Sell,0.000271272266931921,0.041577111259576,0.298245614035088,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
BAABBBABBCA,1,2,310,Sell,0.000346981263011728,0.0428328847846598,0.448571428571429,NULL,29,50,148,+TRIX
BCCBCBBBABA,1,17,1117,Sell,9.06043E-05,0.041762579229928,1.02713178294574,NULL,4,38,73,+BOP+CCI+MACD
BCCBBBCBBAA,1,2,127,Sell,0.000785957558291882,0.058177759247643,0.354570637119114,NULL,56,102,149,+BOP+CCI+RSI
ACCBCBBBBBC,1,4,1831,Sell,0.00138985406532306,0.0409707316651876,1.07142857142857,NULL,1,27,102,+BOP+CCI+MACD+ADOSC
BABBABBBBCC,1,13,9591,Sell,0.0001803589142393,0.042224179255848,1.42156862745098,NULL,38,54,151,+TRIX+ADOSC
BCCBCBBBBBA,1,55,2141,Sell,0.000181274,0.0333391087140301,0.52,NULL,4,38,73,+BOP+CCI+MACD
BAABBBBBBCA,1,20,23471,Sell,9.04895484570709E-05,0.0403674365037013,2.47560975609756,NULL,29,50,148,+TRIX
BCBBBBBCBCA,1,6,5705,Sell,0.000695894224078049,0.0468078869667741,1.178,NULL,37,51,83,+BOP+STOCH+TRIX
BCCABBCBBAA,1,5,110,Sell,0.000720980533525708,0.0512578671194492,0.226846361185984,NULL,56,102,149,+BOP+CCI+RSI
BACBBBBABBC,1,4,1155,Sell,0.000271272266931921,0.0447602560571449,0.489795918367347,NULL,1,2,5,+CCI+ADOSC
BCCBBBBBBAA,1,6,11491,Sell,0.000236686,0.0482689184606862,1.10386151797603,NULL,1,16,64,+BOP+CCI
BCCBBBCBABC,1,26,424,Sell,9.05223137503858E-05,0.0432883309444941,0.452991452991453,NULL,2,6,10,+BOP+CCI+RSI+ADOSC
BABBBBBBCCA,1,12,24610,Sell,0.000270513976555466,0.0494768988766123,2.25342465753425,NULL,33,50,142,+STOCHRSI+TRIX
BABBBBBBBCA,1,105,114115,Sell,9.04731747037466E-05,0.0454258282960186,2.54743083003953,NULL,29,50,148,+TRIX
CABBABBABBC,1,2,461,Sell,0.00183066361556067,0.0396332837107894,0.683636363636364,NULL,1,2,13,+AROON+ADOSC
BCCBCBBBBAA,1,9,4741,Sell,0.000360717828478729,0.0418621879776427,0.615931721194879,NULL,4,38,73,+BOP+CCI+MACD
BCBBCBBBBCC,1,9,8853,Sell,0.00017379214459503,0.0405772399975381,2.01989698010302,NULL,44,44,45,+BOP+MACD+TRIX+ADOSC
ABBBCBBAABA,1,16,10263,Sell,0.00018097909691427,0.0323970279652748,0.678318375059046,NULL,1,7,118,+MACD
CABBBBBCBBC,1,2,1898,Sell,0.000550728,0.0447761857972772,0.939163498098859,NULL,1,3,9,+AROON+STOCH+ADOSC
