datetime,signal,ticker,family,signals,threshold
2020-05-21 14:07:55,buy,INO,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,INO,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,PENN,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PENN,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,PENN,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,PENN,+AROON+BOP+CCI,2,2.0
2020-05-21 14:07:55,buy,JD,+AROON+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,JD,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,JD,+BOP+CCI+ADOSC,2,21.0
2020-05-21 14:07:55,buy,JD,+AROON+BOP+CCI+ADOSC,7,1.0
2020-05-21 14:07:55,buy,HAL,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,TWTR,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,TWTR,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,TWTR,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,UBER,+AROON+BOP+CCI+RSI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,UBER,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,UBER,+MACD,1,7.0
2020-05-21 14:07:55,buy,UBER,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,HPQ,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,HPQ,+MACD,1,7.0
2020-05-21 14:07:55,buy,HPQ,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,GM,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,GM,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AMD,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AMD,+AROON+ADOSC,2,2.0
2020-05-21 14:07:55,buy,AMD,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,AMD,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,MS,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,TQQQ,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,TQQQ,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,TQQQ,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,ERI,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,SE,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,SE,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,SQ,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,SQ,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,SQ,+AROON+BOP+CCI+ADOSC,5,1.0
2020-05-21 14:07:55,buy,TJX,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,TJX,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,TJX,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,TJX,+AROON+BOP+CCI,2,2.0
2020-05-21 14:07:55,buy,TJX,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,HBI,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,HBI,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,HBI,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,HBI,+AROON+BOP+MACD+ADOSC,1,2.0
2020-05-21 14:07:55,buy,HBI,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,NTNX,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,NTNX,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,ENPH,+ADOSC,2,15.0
2020-05-21 14:07:55,buy,CDE,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,CDE,+CCI,1,1.0
2020-05-21 14:07:55,buy,CDE,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,CDE,+MACD,1,7.0
2020-05-21 14:07:55,buy,CDE,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,CDE,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,HPE,+AROON+BOP+MACD+ADOSC,1,2.0
2020-05-21 14:07:55,buy,VALE,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,CGC,+AROON+CCI,3,1.0
2020-05-21 14:07:55,buy,CGC,+AROON+BOP+CCI,2,2.0
2020-05-21 14:07:55,buy,VIAC,+MACD,1,7.0
2020-05-21 14:07:55,buy,VICI,+AROON+BOP+CCI+RSI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,VICI,+AROON+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,VICI,+AROON+CCI+RSI+ADOSC,1,0
2020-05-21 14:07:55,buy,VICI,+AROON+BOP+CCI+RSI,1,0
2020-05-21 14:07:55,buy,VICI,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,DOW,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,DOW,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,DOW,+MACD,1,7.0
2020-05-21 14:07:55,buy,VLO,+AROON+CCI,3,1.0
2020-05-21 14:07:55,buy,EQNR,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,EQNR,+AROON+CCI,3,1.0
2020-05-21 14:07:55,buy,EQNR,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,OTIS,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AUY,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,AUY,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,EXPE,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,EXPE,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,INTC,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,INTC,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,INTC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,INTC,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,KGC,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,KGC,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,KGC,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,KGC,+AROON+BOP+CCI,4,2.0
2020-05-21 14:07:55,buy,KGC,+BOP+CCI,1,16.0
2020-05-21 14:07:55,buy,PAAS,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PAAS,+AROON+CCI+ADOSC,6,1.0
2020-05-21 14:07:55,buy,PAAS,+AROON+CCI+RSI+ADOSC,1,0
2020-05-21 14:07:55,buy,MCHI,+AROON+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,MCHI,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,MCHI,nan,1,0
2020-05-21 14:07:55,buy,BBY,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,BBY,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,BBY,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ACGL,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ACGL,+AROON+ADOSC,3,2.0
2020-05-21 14:07:55,buy,IPG,+BOP+CCI,2,16.0
2020-05-21 14:07:55,buy,FCX,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,FCX,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,FCX,+BOP+MACD+ADOSC,2,28.0
2020-05-21 14:07:55,buy,FIXD,+AROON+CCI,8,1.0
2020-05-21 14:07:55,buy,FIXD,+BOP+CCI,1,16.0
2020-05-21 14:07:55,buy,ALT,+MACD,4,7.0
2020-05-21 14:07:55,buy,QCOM,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,GOLD,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,GOLD,+AROON+BOP+CCI+ADOSC,6,1.0
2020-05-21 14:07:55,buy,GOLD,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,TEVA,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,TEVA,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,TEVA,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,EOG,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,EOG,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,EOG,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,UPS,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,UPS,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,UPS,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,UPS,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,UPS,+BOP+MACD+ADOSC,2,28.0
2020-05-21 14:07:55,buy,ZTO,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,ZTO,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,ZTO,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,ZTO,+AROON+BOP+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,VTR,+AROON+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,VTR,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,VTR,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,BLUE,+AROON+CCI+ADOSC,7,1.0
2020-05-21 14:07:55,buy,BLUE,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,BLUE,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,MRVL,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,MRVL,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,MRVL,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,DDOG,+MACD+ADOSC,2,8.0
2020-05-21 14:07:55,buy,DDOG,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,VCSH,+AROON+BOP+MACD+ADOSC,5,2.0
2020-05-21 14:07:55,buy,MPC,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,MPC,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,MPC,nan,2,0
2020-05-21 14:07:55,buy,TLRY,+AROON+CCI,4,1.0
2020-05-21 14:07:55,buy,OMI,+CCI+ADOSC,3,2.0
2020-05-21 14:07:55,buy,OMI,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,OMI,+AROON+ADOSC,2,2.0
2020-05-21 14:07:55,buy,CMCSA,+AROON+BOP+CCI+RSI+ADOSC,8,1.0
2020-05-21 14:07:55,buy,CMCSA,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,CMCSA,+AROON+CCI+RSI+ADOSC,2,0
2020-05-21 14:07:55,buy,CMCSA,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,CMCSA,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AMAT,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AMAT,+MACD,1,7.0
2020-05-21 14:07:55,buy,AMAT,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,DVAX,+MACD+ADOSC,5,8.0
2020-05-21 14:07:55,buy,OVV,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,OVV,+AROON+CCI,4,1.0
2020-05-21 14:07:55,buy,OVV,+AROON,1,2.0
2020-05-21 14:07:55,buy,OVV,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,OVV,+AROON+BOP+CCI,2,2.0
2020-05-21 14:07:55,buy,STX,+AROON,1,2.0
2020-05-21 14:07:55,buy,ANGI,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,ANGI,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,ANGI,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,IIVI,+CCI+ADOSC,2,2.0
2020-05-21 14:07:55,buy,IIVI,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,IIVI,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,IIVI,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,IIVI,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,CDNS,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,CDNS,nan,1,0
2020-05-21 14:07:55,buy,HRB,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,HRB,+ADOSC,3,15.0
2020-05-21 14:07:55,buy,ABC,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ABC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PK,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,PK,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PK,+AROON+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PK,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PK,+AROON+CCI+RSI,1,0
2020-05-21 14:07:55,buy,PK,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,PK,+AROON+BOP+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PK,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,PK,+AROON+BOP+RSI,2,1.0
2020-05-21 14:07:55,buy,VRT,+AROON+RSI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,VRT,+AROON+BOP+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PCG,+AROON+CCI,7,1.0
2020-05-21 14:07:55,buy,PCG,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,VSLR,+AROON,3,2.0
2020-05-21 14:07:55,buy,DELL,+AROON+CCI,5,1.0
2020-05-21 14:07:55,buy,DELL,+MACD,1,7.0
2020-05-21 14:07:55,buy,DELL,+AROON+BOP+CCI,2,2.0
2020-05-21 14:07:55,buy,BILI,+AROON+BOP+CCI+RSI,1,0
2020-05-21 14:07:55,buy,BILI,+AROON+CCI,4,1.0
2020-05-21 14:07:55,buy,BILI,+AROON+MACD,2,1.0
2020-05-21 14:07:55,buy,BILI,+AROON+BOP+CCI,3,2.0
2020-05-21 14:07:55,buy,VNOM,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,CARR,nan,1,0
2020-05-21 14:07:55,buy,RIO,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,RIO,+AROON+CCI+MACD+ADOSC,1,0
2020-05-21 14:07:55,buy,NOMD,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,BNTX,+MACD,1,7.0
2020-05-21 14:07:55,buy,EPD,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,EPD,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,RUN,+AROON+CCI,8,1.0
2020-05-21 14:07:55,buy,RUN,+MACD,1,7.0
2020-05-21 14:07:55,buy,RUN,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,HTA,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,CZR,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,CZR,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,ALC,+AROON+CCI,4,1.0
2020-05-21 14:07:55,buy,ALC,+BOP+CCI,1,16.0
2020-05-21 14:07:55,buy,AGNC,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,AGNC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+CCI+ADOSC,2,2.0
2020-05-21 14:07:55,buy,ING,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AROC,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,AROC,+AROON+ADOSC,5,2.0
2020-05-21 14:07:55,buy,AROC,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,AROC,+BOP+MACD,1,38.0
2020-05-21 14:07:55,buy,AROC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AROC,+AROON+BOP+ADOSC,1,2.0
