strategy_id,buy,sell,none,type,MinPct,AvgPct,MaxPct,FalseCount
CCCABBCAACC,0,7762,113518,Sell,0.000541,0.073389,2.547431,NULL
CBCBBBBAABC,747,5708,319270,Sell,0.000000,0.033004,1.806452,NULL
CCCBBBCAACC,0,3979,86147,Sell,0.000368,0.053707,2.547431,NULL
CBCBBBBAABA,522,3826,179358,Sell,0.000000,0.030934,1.583491,NULL
CBCABBCAACC,0,3318,74580,Sell,0.000346,0.054575,2.547431,NULL
CCCBBBBAACC,0,3203,170091,Sell,0.000437,0.049341,2.475610,NULL
CCCBBBBAABC,579,3186,178481,Sell,0.000134,0.044228,2.547431,NULL
CCCBBBBBBCC,0,3077,134170,Sell,0.000361,0.048413,2.547431,NULL
CBCBBBBBBBC,366,2492,162647,Sell,0.000000,0.030961,1.859195,NULL
CBCABBCAABC,93,2422,47293,Sell,0.000000,0.051060,2.253425,NULL
CBCBBBBBBBA,316,2356,135877,Sell,0.000000,0.029711,1.828182,NULL
CBCBBBCAACC,0,2290,70366,Sell,0.000356,0.041235,1.859195,NULL
CBCBBBCAABC,109,2276,60581,Sell,0.000000,0.038658,1.806452,NULL
CBCBBBBAACC,0,2156,186584,Sell,0.000236,0.037072,2.475610,NULL
CCCBBBCBBCC,0,2041,32337,Sell,0.000451,0.056059,2.547431,NULL
CACBBBBBBCA,0,2031,64633,Sell,0.000347,0.046210,2.547431,NULL
CCCBBBBBBBC,333,1908,98692,Sell,0.000091,0.041988,2.475610,NULL
CCCABBCABCC,0,1806,26214,Sell,0.000451,0.072951,2.475610,NULL
CCCABBCAABC,82,1795,39392,Sell,0.000425,0.066925,2.253425,NULL
CACBBBBBBCC,0,1732,64826,Sell,0.000451,0.052123,2.547431,NULL
CACABBCAACC,0,1609,18018,Sell,0.001524,0.072613,2.019897,NULL
CABBBBBBBCA,0,1605,362642,Sell,0.000090,0.046199,2.547431,NULL
CCCABBCBBCC,0,1565,16804,Sell,0.001026,0.070307,1.859195,NULL
CCCBBBCAABC,126,1503,43363,Sell,0.000053,0.050404,1.806452,NULL
CACBBBBABCC,0,1414,71016,Sell,0.000709,0.052348,2.547431,NULL
CACBBBBBBBA,98,1386,49081,Sell,0.000118,0.039204,2.019897,NULL
CABBBBBBBCC,0,1373,295423,Sell,0.000316,0.050573,2.547431,NULL
CBCBBBBBABA,206,1342,84508,Sell,0.000000,0.030745,2.475610,NULL
CBCBBBBBABC,219,1305,82392,Sell,0.000000,0.032893,2.019897,NULL
CBCBBBBBBCC,0,1270,127992,Sell,0.000174,0.036993,2.547431,NULL
CBCBBBCAABA,75,1254,29071,Sell,0.000000,0.036232,1.249490,NULL
CACBBBBAABA,93,1251,38494,Sell,0.000155,0.038287,2.475610,NULL
CBCBBBBBBCA,0,1210,99449,Sell,0.000236,0.036171,1.583491,NULL
CACBBBBAACC,0,1207,41704,Sell,0.000942,0.051010,2.547431,NULL
CCCBBBBBACC,0,1108,64010,Sell,0.000454,0.050495,2.547431,NULL
CBCABBCAABA,47,1103,20016,Sell,0.000000,0.047027,1.249490,NULL
CBCBBBBAACA,0,1086,83364,Sell,0.000181,0.036025,2.475610,NULL
CCCBBBBBBCA,0,1080,51838,Sell,0.000369,0.047408,1.828182,NULL
CBCABBCAACA,0,1032,21706,Sell,0.000090,0.050939,2.475610,NULL
CCCBBBCABCC,0,985,24342,Sell,0.001346,0.054335,2.475610,NULL
CACBBBCAACC,0,951,16503,Sell,0.001212,0.056547,2.475610,NULL
CBCBBBCAACA,0,947,25589,Sell,0.000368,0.040933,1.828182,NULL
CCCBBBBBABC,222,936,62875,Sell,0.000278,0.045612,7.062500,NULL
CCCBCBBBBCC,0,903,30581,Sell,0.000437,0.045570,2.475610,NULL
